timestamp,latitude,longitude,elevation,speed
0.0,-6.860009,107.594753,695.0,11.5
1.0,-6.859715,107.594819,695.2,11.5
2.0,-6.859421,107.594886,695.4,11.5
3.0,-6.859127,107.594952,695.6,11.5
4.0,-6.858833,107.595019,695.8,11.5
5.0,-6.858539,107.595085,696.0,11.5
6.0,-6.858246,107.595152,696.2,11.5
7.0,-6.857952,107.595218,696.4,11.5
8.0,-6.857658,107.595285,696.6,11.5
9.0,-6.857364,107.595351,696.8,11.5
10.0,-6.857070,107.595418,697.0,11.5
11.0,-6.856776,107.595484,697.2,11.5
12.0,-6.856482,107.595551,697.4,11.5
13.0,-6.856189,107.595617,697.6,11.5
14.0,-6.855895,107.595684,697.8,11.5
15.0,-6.855601,107.595750,698.0,11.5
16.0,-6.855307,107.595817,698.2,11.5
17.0,-6.855013,107.595883,698.4,11.5
18.0,-6.854719,107.595950,698.6,11.5
19.0,-6.854425,107.596016,698.8,11.5
20.0,-6.854132,107.596083,699.0,11.5
21.0,-6.853838,107.596149,699.2,11.5
22.0,-6.853544,107.596216,699.4,11.5
23.0,-6.853250,107.596282,699.6,11.5
24.0,-6.852956,107.596349,699.8,11.5
25.0,-6.852662,107.596415,700.0,11.5
26.0,-6.852368,107.596482,700.2,11.5
27.0,-6.852075,107.596548,700.4,11.5
28.0,-6.851793,107.596601,700.6,11.5
